iter	Passed	Remaining
437	11644	14941
438	11669	14913
439	11694	14883
440	11711	14844
441	11744	14826
442	11775	14805
443	11793	14768
444	11813	14733
445	11838	14705
446	11856	14667
447	11869	14624
448	11886	14586
449	11919	14567
450	11949	14546
451	11969	14511
452	11990	14478
453	12003	14436
454	12023	14401
455	12043	14367
456	12061	14330
457	12082	14298
458	12102	14264
459	12119	14227
460	12137	14191
461	12163	14164
462	12179	14126
463	12200	14093
464	12226	14066
465	12253	14041
466	12269	14004
467	12282	13962
468	12321	13950
469	12338	13913
470	12353	13875
471	12378	13847
472	12401	13816
473	12418	13781
474	12434	13743
475	12456	13712
476	12480	13683
477	12498	13649
478	12512	13609
479	12539	13584
480	12553	13545
481	12574	13513
482	12609	13496
483	12626	13461
484	12654	13437
485	12678	13408
486	12692	13370
487	12719	13344
488	12749	13323
489	12775	13297
490	12795	13264
491	12815	13231
492	12834	13198
493	12865	13177
494	12901	13162
495	12918	13126
496	12940	13096
497	12963	13067
498	12984	13036
499	13014	13014
500	13029	12977
501	13043	12939
502	13059	12903
503	13081	12873
504	13101	12842
505	13116	12805
506	13134	12771
507	13157	12743
508	13180	12714
509	13205	12687
510	13223	12653
511	13241	12620
512	13255	12583
513	13285	12562
514	13310	12535
515	13337	12509
516	13354	12476
517	13370	12440
518	13396	12415
519	13420	12387
520	13435	12352
521	13465	12330
522	13493	12306
523	13516	12278
524	13531	12242
525	13553	12213
526	13570	12179
527	13599	12157
528	13622	12128
529	13641	12097
530	13664	12069
531	13678	12033
532	13691	11996
533	13712	11966
534	13729	11933
535	13746	11899
536	13759	11863
537	13776	11830
538	13810	11811
539	13839	11789
540	13864	11763
541	13886	11734
542	13904	11702
543	13930	11676
544	13950	11646
545	13978	11622
546	14000	11594
547	14021	11565
548	14035	11530
549	14051	11496
550	14075	11469
551	14097	11441
552	14120	11413
553	14137	11381
554	14149	11345
555	14169	11315
556	14200	11294
557	14222	11265
558	14243	11237
559	14265	11208
560	14284	11178
561	14309	11152
562	14333	11125
563	14371	11109
564	14398	11085
565	14424	11060
566	14443	11029
567	14471	11006
568	14498	10982
569	14518	10952
570	14540	10924
571	14557	10892
572	14585	10869
573	14612	10844
574	14636	10817
575	14667	10796
576	14688	10768
577	14715	10743
578	14739	10717
579	14758	10687
580	14780	10659
581	14805	10633
582	14827	10605
583	14861	10586
584	14890	10563
585	14912	10535
586	14934	10507
587	14959	10481
588	14974	10449
589	14999	10423
590	15026	10399
591	15051	10373
592	15076	10347
593	15088	10313
594	15109	10284
595	15133	10258
596	15160	10234
597	15184	10207
598	15207	10180
599	15224	10149
600	15242	10119
601	15262	10090
602	15280	10059
603	15309	10037
604	15333	10010
605	15352	9981
606	15381	9958
607	15407	9933
608	15426	9904
609	15448	9876
610	15462	9844
611	15483	9816
612	15511	9793
613	15542	9770
614	15561	9741
615	15577	9710
616	15602	9685
617	15625	9658
618	15644	9629
619	15670	9604
620	15693	9577
621	15714	9550
622	15741	9525
623	15762	9498
624	15782	9469
625	15807	9443
626	15833	9419
627	15852	9390
628	15877	9364
629	15901	9338
630	15916	9307
631	15944	9283
632	15966	9257
633	15991	9231
634	16022	9209
635	16053	9187
636	16072	9158
637	16096	9132
638	16121	9107
639	16136	9076
640	16167	9054
641	16180	9022
642	16204	8997
643	16225	8969
644	16243	8940
645	16278	8920
646	16306	8896
647	16321	8866
648	16340	8837
649	16365	8812
650	16383	8783
651	16409	8758
652	16443	8738
653	16470	8713
654	16502	8692
655	16526	8666
656	16554	8642
657	16577	8616
658	16599	8589
659	16616	8559
660	16645	8537
661	16668	8510
662	16693	8485
663	16711	8456
664	16726	8426
665	16740	8395
666	16769	8372
667	16791	8345
668	16806	8315
669	16830	8289
670	16858	8265
671	16880	8239
672	16898	8210
673	16920	8183
674	16945	8158
675	16977	8136
676	16996	8109
677	17014	8080
678	17033	8052
679	17068	8032
680	17097	8009
681	17113	7979
682	17133	7952
683	17162	7929
684	17183	7901
685	17204	7875
686	17231	7850
687	17243	7819
688	17263	7792
689	17285	7765
690	17306	7738
691	17328	7712
692	17349	7685
693	17371	7659
694	17394	7633
695	17415	7606
696	17444	7583
697	17476	7561
698	17489	7531
699	17502	7501
700	17527	7476
701	17546	7448
702	17565	7421
703	17596	7398
704	17612	7369
705	17634	7343
706	17654	7316
707	17678	7291
708	17702	7265
709	17720	7237
710	17739	7210
711	17759	7183
712	17780	7156
713	17812	7134
714	17827	7106
715	17847	7079
716	17876	7055
717	17889	7026
718	17913	7001
719	17939	6976
720	17955	6948
721	17973	6920
722	18000	6896
723	18021	6869
724	18038	6842
725	18062	6817
726	18087	6792
727	18100	6762
728	18121	6736
729	18140	6709
730	18160	6682
731	18180	6656
732	18198	6628
733	18231	6607
734	18261	6584
735	18280	6557
736	18302	6531
737	18327	6506
738	18350	6480
739	18374	6455
740	18398	6430
741	18419	6404
742	18437	6377
743	18460	6352
744	18479	6325
745	18505	6300
746	18533	6277
747	18560	6252
748	18576	6225
749	18597	6199
750	18619	6173
751	18640	6147
752	18659	6120
753	18678	6093
754	18702	6069
755	18720	6042
756	18737	6014
757	18762	5990
758	18778	5962
759	18797	5935
760	18819	5910
761	18841	5884
762	18865	5859
763	18881	5832
764	18906	5807
765	18921	5780
766	18949	5756
767	18963	5728
768	18988	5703
769	19001	5675
770	19023	5650
771	19042	5624
772	19070	5600
773	19086	5573
774	19119	5550
775	19144	5526
776	19159	5498
777	19180	5473
778	19204	5448
779	19225	5422
780	19259	5400
781	19275	5373
782	19296	5347
783	19320	5322
784	19335	5295
785	19359	5270
786	19389	5247
787	19414	5223
