iter	Logloss
0	0.6836586286
1	0.6774965081
2	0.6691923294
3	0.6601526491
4	0.6503827804
5	0.6418766578
6	0.6341867425
7	0.6271613869
8	0.6207807548
9	0.6141843327
10	0.61005768
11	0.6043831918
12	0.5988483585
13	0.5929834785
14	0.5889571601
15	0.5819713067
16	0.5752664822
17	0.5706080167
18	0.5656740295
19	0.5609965137
20	0.5564463579
21	0.5514754137
22	0.5465057518
23	0.5429311627
24	0.5384373825
25	0.5341750697
26	0.5297572926
27	0.5265191044
28	0.5222049692
29	0.5183924923
30	0.5154925204
31	0.5130332233
32	0.5109792972
33	0.5071143817
34	0.503755331
35	0.5004023193
36	0.4981699552
37	0.4966933656
38	0.4941757321
39	0.4921368334
40	0.4900183314
41	0.4881150066
42	0.48602253
43	0.4842239934
44	0.4828718356
45	0.4803595268
46	0.4779868032
47	0.4763022206
48	0.4738707393
49	0.4721135419
50	0.4696044715
51	0.4681824894
52	0.4666416706
53	0.464577707
54	0.4630602432
55	0.4622937091
56	0.4609513126
57	0.4598093901
58	0.4591166073
59	0.4576492659
60	0.4569706413
61	0.4553371763
62	0.454490385
63	0.4527031661
64	0.4510747271
65	0.4499587323
66	0.4494159253
67	0.4488564398
68	0.4482504217
69	0.447651549
70	0.4471645968
71	0.4466011253
72	0.4458076514
73	0.4448891452
74	0.443902814
75	0.4431956505
76	0.442513823
77	0.4416259448
78	0.4412745319
79	0.4397880448
80	0.4393558664
81	0.4380650567
82	0.4374362887
83	0.4370617709
84	0.4366954572
85	0.4359478935
86	0.4349687741
87	0.4347100881
88	0.4339683553
89	0.4335496344
90	0.4330347591
91	0.4321781997
92	0.4312848909
93	0.4303574788
94	0.4300909656
95	0.429648376
96	0.4291782282
97	0.4288378938
98	0.4285786572
99	0.4280100747
100	0.4275669489
101	0.4271736296
102	0.4268878431
103	0.4265358859
104	0.4262008858
105	0.4258300701
106	0.4254930426
107	0.425166737
108	0.4243445239
109	0.4240536207
110	0.4238811766
111	0.4238066094
112	0.4236109995
113	0.4226449597
114	0.4220176044
115	0.4216827642
116	0.4214678901
117	0.421259847
118	0.4205686077
119	0.420317296
120	0.4201860729
121	0.4200571238
122	0.4198594687
123	0.419427162
124	0.419144448
125	0.4188052469
126	0.418559347
127	0.4184425537
128	0.4182701796
129	0.4178234116
130	0.4174673606
131	0.4167886156
132	0.4166135014
133	0.4158369567
134	0.4157407602
135	0.4155007371
136	0.4154372172
137	0.4151837831
138	0.41509687
139	0.4150027763
140	0.4148564255
141	0.4147746402
142	0.4146371266
143	0.4144993724
144	0.4144222082
145	0.4143456347
146	0.4142858751
147	0.4142267
148	0.4139979367
149	0.4138711282
150	0.4138188924
151	0.4136772745
152	0.4133460857
153	0.413245801
154	0.4129178779
155	0.412851579
156	0.4127796584
157	0.4124631429
158	0.4123499767
159	0.4122964392
160	0.4121885066
161	0.4120583561
162	0.4120153405
163	0.411769528
164	0.4117081358
165	0.4116118985
166	0.4114154786
167	0.4113584876
168	0.4112655065
169	0.4111697482
170	0.411006488
171	0.4109576918
172	0.4109049884
173	0.4107141886
174	0.4106129258
175	0.4105346773
176	0.4104866424
177	0.4104060867
178	0.4102641647
179	0.4101756783
180	0.4100903757
181	0.4099566017
182	0.4099011237
183	0.4097911477
184	0.4096141554
185	0.4095666907
186	0.4092774245
187	0.4091560106
188	0.4091152452
189	0.4088722608
190	0.4086052524
191	0.4084915717
192	0.4084403851
193	0.408387076
194	0.408290088
195	0.408263716
196	0.4076863878
197	0.4074883838
198	0.4074643157
199	0.4070173186
200	0.4067920173
201	0.4067480236
202	0.4065873827
203	0.4062667676
204	0.4059154993
205	0.4058960761
206	0.4058696088
207	0.4057360221
208	0.4053158286
209	0.4052667331
210	0.4045854819
211	0.4045752059
212	0.4045553546
213	0.4042905415
214	0.4042680149
215	0.4042144403
216	0.4042002215
217	0.4041674035
218	0.4040324811
219	0.4039814281
220	0.4037039605
221	0.4033173209
222	0.4031536826
223	0.4031342962
224	0.4030029743
225	0.4029705844
226	0.4029599538
227	0.4029496262
228	0.4028788867
229	0.4028145711
230	0.4028051734
231	0.4027960301
232	0.4027460965
233	0.4027100044
234	0.4026440744
235	0.4026357799
236	0.4025797681
237	0.4025696019
238	0.4018505836
239	0.4018278817
240	0.401134768
241	0.401096544
242	0.4010507521
243	0.4009743522
244	0.4008519587
245	0.4006232878
246	0.4005384719
247	0.4005048222
248	0.4002264894
249	0.4002204302
250	0.4001888819
251	0.4000938495
252	0.4000734115
253	0.4000143184
254	0.4000090419
255	0.3999316777
256	0.3999033653
257	0.3998128296
258	0.3997988591
259	0.3997961753
260	0.399740369
261	0.3992909524
262	0.3992884123
263	0.3992373211
264	0.399223949
265	0.3990559579
266	0.398962826
267	0.3989589114
268	0.3989166136
269	0.3988163907
270	0.3988144123
271	0.3987956448
272	0.3987897635
273	0.3987733107
274	0.3987607527
